column,dtype,missing_n,n_unique,min,max,mean,top
FWBscore,float64,0,77,14.0,95.0,56.082836523376216,
SAVEHABIT,float64,0,6,1.0,6.0,4.386884217132099,
SCFHORIZON,float64,0,5,1.0,5.0,3.114684656416693,
PROPPLAN_1,float64,0,5,1.0,5.0,3.6818324443049892,
PROPPLAN_2,float64,0,5,1.0,5.0,3.6328835895826797,
PROPPLAN_3,float64,0,5,1.0,5.0,3.6797929086915593,
PROPPLAN_4,float64,0,5,1.0,5.0,3.260746783809225,
MANAGE1_1,float64,0,5,1.0,5.0,4.5440853467210545,
MANAGE1_2,float64,0,5,1.0,5.0,3.8162849074364606,
MANAGE1_3,float64,0,5,1.0,5.0,3.5433009099466584,
MANAGE1_4,float64,0,5,1.0,5.0,4.213680577345466,
ACT1_1,float64,0,5,1.0,5.0,4.233762158770003,
ACT1_2,float64,0,5,1.0,5.0,3.6215877000313776,
FINGOALS,float64,0,2,0.0,1.0,0.6449639159083778,
GOALCONF,float64,0,4,1.0,4.0,3.2315657358016945,
DISTRESS,float64,0,5,1.0,5.0,3.145120803263257,
ABSORBSHOCK,float64,0,5,1.0,8.0,3.5426733605271417,
VOLATILITY,float64,0,3,1.0,3.0,1.3340131785378098,
ENDSMEET,float64,0,3,1.0,3.0,1.4595230624411673,
COVERCOSTS,float64,0,4,1.0,4.0,1.997489802321933,
MATHARDSHIP_1,float64,0,3,1.0,3.0,1.224035142767493,
MATHARDSHIP_2,float64,0,3,1.0,3.0,1.1951678694697208,
MATHARDSHIP_3,float64,0,3,1.0,3.0,1.1162535299654848,
MATHARDSHIP_4,float64,0,3,1.0,3.0,1.1983056165673047,
MATHARDSHIP_5,float64,0,3,1.0,3.0,1.17383118920615,
MATHARDSHIP_6,float64,0,3,1.0,3.0,1.080483213053028,
SHOCKS_1,int64,0,2,0.0,1.0,0.06385315343583307,
SHOCKS_2,int64,0,2,0.0,1.0,0.0676184499529338,
SHOCKS_3,int64,0,2,0.0,1.0,0.00815814245371823,
SHOCKS_4,int64,0,2,0.0,1.0,0.2070913084405397,
SHOCKS_5,int64,0,2,0.0,1.0,0.14088484468151866,
SHOCKS_6,int64,0,2,0.0,1.0,0.018983369940382806,
SHOCKS_7,int64,0,2,0.0,1.0,0.0335738939441481,
SHOCKS_8,int64,0,2,0.0,1.0,0.009883903357389394,
SHOCKS_9,int64,0,2,0.0,1.0,0.06479447756510825,
SHOCKS_10,int64,0,2,0.0,1.0,0.039378726074678384,
SHOCKS_11,int64,0,2,0.0,1.0,0.13147160338876687,
PAREDUC,float64,0,5,1.0,5.0,2.948854722309382,
FINSOC2_1,float64,0,2,0.0,1.0,0.3454659554439912,
FINSOC2_2,float64,0,2,0.0,1.0,0.6551615939755255,
FINSOC2_3,float64,0,2,0.0,1.0,0.3646062127392532,
FINSOC2_4,float64,0,2,0.0,1.0,0.6095073737056793,
FINSOC2_5,float64,0,2,0.0,1.0,0.7480389080640101,
FINSOC2_6,float64,0,2,0.0,1.0,0.40272983997489803,
FINSOC2_7,float64,0,2,0.0,1.0,0.42014433636648885,
EARNERS,float64,0,3,1.0,3.0,1.6708503294634451,
PPHHSIZE,int64,0,5,1.0,5.0,2.523846877941638,
LIVINGARRANGEMENT,float64,0,5,1.0,5.0,2.094916849701914,
MATERIALISM_1,float64,0,5,1.0,5.0,2.6487292124254784,
MATERIALISM_2,float64,0,5,1.0,5.0,2.994979604643866,
MATERIALISM_3,float64,0,5,1.0,5.0,2.3719799184185755,
CONNECT,float64,0,72,0.0,100.0,71.48007530593034,
OUTLOOK_1,float64,0,5,1.0,5.0,3.566206463759021,
OUTLOOK_2,float64,0,5,1.0,5.0,3.4333228741763415,
agecat,int64,0,8,1.0,8.0,4.4560715406338245,
PPINCIMP,int64,0,9,1.0,9.0,5.514119861939128,
PPEDUC,int64,0,5,1.0,5.0,3.1612802008158143,
EMPLOY,float64,0,8,1.0,8.0,4.32616881079385,
PPGENDER,int64,0,2,1.0,2.0,1.475996234703483,
PPETHM,int64,0,4,1.0,4.0,1.6217445873862566,
LMscore,int64,0,4,0.0,3.0,2.5122372136805775,
KHscore,float64,0,11,-2.053,1.267,-0.05157781612802012,
FSscore,float64,0,76,5.0,85.0,50.78835895826796,
finalwt,float64,0,3113,0.165566677886881,5.8697873155162,0.9990537205422312,
row_missing_core_pct,float64,0,6,0.0,0.2941176470588235,0.003820668524705144,
HARDSHIP_TOTAL,int64,0,7,0.0,6.0,0.8018512707875746,
FWB_high_54,int64,0,2,0.0,1.0,0.5764041418261688,
FWB_high_56,int64,0,2,0.0,1.0,0.5167869469720741,
FWBcat,str,0,3,,,,Medium
behavior_cluster,int64,0,3,0.0,2.0,1.2003451521807342,
