variable,group,criterion_theoretical_relevance,criterion_direct_link_to_rq,criterion_data_quality_variation,criterion_non_redundancy,priority,missing_pct,decision,reason
FWBscore,outcome,Yes,"RQ1,RQ3,RQ4",missing=0.08%; unique=77; decision=keep (outcome variable),checked by variable-family design,critical,0.08,keep,outcome variable
SAVEHABIT,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.31%; unique=6; decision=keep (missing <= 15%),checked by variable-family design,high,0.31,keep,missing <= 15%
SCFHORIZON,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=1.28%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,1.28,keep,missing <= 15%
PROPPLAN_1,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.16%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.16,keep,missing <= 15%
PROPPLAN_2,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.16%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.16,keep,missing <= 15%
PROPPLAN_3,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.16%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.16,keep,missing <= 15%
PROPPLAN_4,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.16%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.16,keep,missing <= 15%
MANAGE1_1,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.19%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.19,keep,missing <= 15%
MANAGE1_2,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.19%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.19,keep,missing <= 15%
MANAGE1_3,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.17%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.17,keep,missing <= 15%
MANAGE1_4,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.17%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.17,keep,missing <= 15%
ACT1_1,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.38%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.38,keep,missing <= 15%
ACT1_2,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.28%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.28,keep,missing <= 15%
FINGOALS,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=1.19%; unique=2; decision=keep (missing <= 15%),checked by variable-family design,high,1.19,keep,missing <= 15%
GOALCONF,behavioral,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.44%; unique=4; decision=keep (missing <= 15%),checked by variable-family design,high,0.44,keep,missing <= 15%
DISTRESS,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.77%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.77,keep,missing <= 15%
ABSORBSHOCK,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.58%; unique=5; decision=keep (missing <= 15%),checked by variable-family design,high,0.58,keep,missing <= 15%
VOLATILITY,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=1.0%; unique=3; decision=keep (missing <= 15%),checked by variable-family design,high,1.0,keep,missing <= 15%
ENDSMEET,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.69%; unique=3; decision=keep (missing <= 15%),checked by variable-family design,high,0.69,keep,missing <= 15%
COVERCOSTS,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.91%; unique=4; decision=keep (missing <= 15%),checked by variable-family design,high,0.91,keep,missing <= 15%
MATHARDSHIP_1,stress_hardship,Yes,"RQ1,RQ2,RQ3,RQ4",missing=0.42%; unique=3; decision=keep (missing <= 15%),checked by variable-family design,high,0.42,keep,missing <= 15%
