FWBscore,SAVEHABIT,SCFHORIZON,PROPPLAN_1,PROPPLAN_2,PROPPLAN_3,PROPPLAN_4,MANAGE1_1,MANAGE1_2,MANAGE1_3,MANAGE1_4,ACT1_1,ACT1_2,FINGOALS,GOALCONF,DISTRESS,ABSORBSHOCK,VOLATILITY,ENDSMEET,COVERCOSTS,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_3,MATHARDSHIP_4,MATHARDSHIP_5,MATHARDSHIP_6,SHOCKS_1,SHOCKS_2,SHOCKS_3,SHOCKS_4,SHOCKS_5,SHOCKS_6,SHOCKS_7,SHOCKS_8,SHOCKS_9,SHOCKS_10,SHOCKS_11,PAREDUC,FINSOC2_1,FINSOC2_2,FINSOC2_3,FINSOC2_4,FINSOC2_5,FINSOC2_6,FINSOC2_7,EARNERS,PPHHSIZE,LIVINGARRANGEMENT,MATERIALISM_1,MATERIALISM_2,MATERIALISM_3,CONNECT,OUTLOOK_1,OUTLOOK_2,agecat,PPINCIMP,PPEDUC,EMPLOY,PPGENDER,PPETHM,LMscore,KHscore,FSscore,finalwt,row_missing_core_pct,HARDSHIP_TOTAL,FWB_high_54,FWB_high_56,FWBcat,behavior_cluster
55.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,3.0,5.0,4.0,80.0,3.0,2.0,8,7,4,8.0,1,1,3,1.267,44.0,0.367291877597199,0.0,6,1,0,Medium,2
51.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,1.0,4.0,4.0,3.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2,2.0,3.0,4.0,3.0,95.0,2.0,5.0,3,6,2,2.0,1,1,3,-0.57,43.0,1.32756071178087,0.0,6,0,0,Medium,2
49.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3,2.0,4.0,4.0,3.0,50.0,4.0,4.0,3,6,3,2.0,1,2,3,-0.188,42.0,0.835155811914691,0.0,6,0,0,Medium,2
49.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,1,0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,5,3.0,3.0,3.0,3.0,0.0,3.0,3.0,2,7,2,2.0,1,3,1,-1.9,42.0,4.26066814335885,0.0,6,0,0,Medium,0
67.0,4.0,1.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,2.0,3.0,3.0,2.0,80.0,3.0,5.0,2,7,4,2.0,1,1,3,0.242,57.0,0.760060876128717,0.0,6,1,1,High,1
51.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5,2.0,3.0,2.0,2.0,70.0,4.0,2.0,3,7,4,4.0,2,4,3,1.267,54.0,1.37052173967805,0.0,6,0,0,Medium,2
47.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1,0,0,0,1,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3.0,2.0,1.0,3.0,50.0,2.0,2.0,2,4,1,7.0,2,1,3,-0.909,35.0,1.19336506580727,0.0,6,0,0,Medium,0
43.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4,3.0,3.0,3.0,3.0,80.0,3.0,3.0,3,7,1,4.0,2,3,2,-0.188,58.0,2.49783836057458,0.0,6,0,0,Low,2
58.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3,2.0,2.0,4.0,3.0,100.0,3.0,4.0,4,8,2,2.0,1,1,3,-0.57,42.0,1.26660232912984,0.0,6,1,1,Medium,1
78.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5,2.0,3.0,2.0,3.0,50.0,5.0,4.0,1,6,3,5.0,1,1,2,-0.188,66.0,0.9379121198635552,0.0,6,1,1,High,1
