metric_key,metric_value
dataset_raw_rows,6394
dataset_raw_cols,217
dataset_final_rows,6374
dataset_final_cols,70
dataset_retained_source_vars,64
dataset_derived_vars,6
rq1_auc_baseline_54,0.758
rq1_auc_modelA_54,0.8294
rq1_auc_modelB_xgb_54,0.9329
rq1_logloss_modelB_xgb_54,0.3288
rq1_f1_modelB_xgb_54,0.8812
rq1_auc_modelB_xgb_56,0.9199
rq3_delong_z_54,10.4983
rq3_delong_p_54,0.0
rq3_delong_z_56,8.8188
rq3_delong_p_56,0.0
rq2_top_shap_1_feature,ENDSMEET
rq2_top_shap_1_value,1.0428
rq2_top_shap_2_feature,ABSORBSHOCK
rq2_top_shap_2_value,0.4037
rq4_best_k,3
rq4_anova_f,1964.9096
rq4_anova_p,0.0
rq4_eta_squared,0.3815
weighted_mean_fwb,54.2403
weighted_high54_rate,0.5194
weighted_high56_rate,0.4604
cv_best_model,ModelB_RandomForest
cv_best_auc_mean,0.9267
cv_best_auc_sd,0.0033
ablation_auc_drop,0.032
subgroup_max_recall_gap,0.3124
rq3_auc_delta_54,0.0988
rq3_auc_delta_54_ci_low,0.0812
rq3_auc_delta_54_ci_high,0.1178
rq3_auc_delta_56,0.081
rq3_auc_delta_56_ci_low,0.0636
rq3_auc_delta_56_ci_high,0.0988
rq4_cohen_f,0.7854
rq4_cramers_v,0.5787
inference_alpha,0.05
inference_target_power,0.8
inference_confidence_level,0.95
power_required_n_rq1_epv10,1440.0519
power_required_n_rq3_threshold54,90.7994
power_required_n_rq3_threshold56,128.6778
power_required_n_rq4_anova,18.9614
