feature,mean_abs_shap
ENDSMEET,1.0427628
ABSORBSHOCK,0.40370122
HARDSHIP_TOTAL,0.38241845
GOALCONF,0.35197768
DISTRESS,0.33893898
ACT1_2,0.27656478
FSscore,0.23099792
agecat,0.21699116
SAVEHABIT,0.19636156
OUTLOOK_2,0.16096398
PPINCIMP,0.15807594
PPETHM,0.15223007
SCFHORIZON,0.12505054
PROPPLAN_1,0.11066422
MANAGE1_2,0.10801193
EMPLOY,0.10500226
MANAGE1_1,0.09077261
PROPPLAN_4,0.090428255
MATERIALISM_2,0.085251294
PPHHSIZE,0.07292073
MANAGE1_4,0.069551475
CONNECT,0.06729559
KHscore,0.05941589
MANAGE1_3,0.057688735
PROPPLAN_2,0.053863034
SHOCKS_2,0.052303772
SHOCKS_4,0.050401945
MATERIALISM_3,0.048576146
ACT1_1,0.044780314
LIVINGARRANGEMENT,0.0430306
OUTLOOK_1,0.041937914
MATERIALISM_1,0.03662718
MATHARDSHIP_1,0.035678897
MATHARDSHIP_4,0.03540015
PAREDUC,0.033170808
PPGENDER,0.03303676
PROPPLAN_3,0.029209616
COVERCOSTS,0.02868939
VOLATILITY,0.028498232
FINGOALS,0.024800148
EARNERS,0.023748375
LMscore,0.022528762
PPEDUC,0.022239702
FINSOC2_7,0.02142439
FINSOC2_5,0.02105082
FINSOC2_2,0.017940855
MATHARDSHIP_3,0.017466651
FINSOC2_3,0.016223507
FINSOC2_6,0.015742889
FINSOC2_1,0.015736666
MATHARDSHIP_2,0.013963472
SHOCKS_5,0.013823268
FINSOC2_4,0.010476093
MATHARDSHIP_5,0.0098979175
SHOCKS_11,0.008835446
SHOCKS_9,0.0066279406
SHOCKS_7,0.005908192
SHOCKS_8,0.0050593484
SHOCKS_1,0.0036697
SHOCKS_10,0.0019351646
MATHARDSHIP_6,0.0018599686
SHOCKS_3,0.0
SHOCKS_6,0.0
