variable,missing_n,missing_pct,min,max
EMPLOY,114,1.7843167944905307,1.0,8.0
FINGOALS,74,1.158240726248239,0.0,1.0
SELFCONTROL_1,51,0.7982469870089217,1.0,4.0
SELFCONTROL_2,47,0.7356393801846924,1.0,4.0
DISTRESS,46,0.7199874784786352,1.0,5.0
SELFCONTROL_3,45,0.7043355767725779,1.0,4.0
GOALCONF,25,0.39129754265143213,1.0,4.0
MATHARDSHIP_6,25,0.39129754265143213,1.0,3.0
MATHARDSHIP_2,24,0.3756456409453749,1.0,3.0
MATHARDSHIP_1,24,0.3756456409453749,1.0,3.0
MATHARDSHIP_4,24,0.3756456409453749,1.0,3.0
MATHARDSHIP_3,23,0.3599937392393176,1.0,3.0
HARDSHIP_TOTAL,22,0.3443418375332603,0.0,6.0
MATHARDSHIP_5,22,0.3443418375332603,1.0,3.0
ACT1_1,21,0.328689935827203,1.0,5.0
SAVEHABIT,16,0.25043042729691656,1.0,6.0
ACT1_2,15,0.23477852559085927,1.0,5.0
MANAGE1_2,8,0.12521521364845828,1.0,5.0
MANAGE1_1,8,0.12521521364845828,1.0,5.0
MANAGE1_4,7,0.10956331194240101,1.0,5.0
MANAGE1_3,7,0.10956331194240101,1.0,5.0
PROPPLAN_4,6,0.09391141023634372,1.0,5.0
PROPPLAN_3,6,0.09391141023634372,1.0,5.0
PROPPLAN_2,6,0.09391141023634372,1.0,5.0
PROPPLAN_1,6,0.09391141023634372,1.0,5.0
FSscore,4,0.06260760682422914,5.0,85.0
PPINCIMP,0,0.0,1.0,9.0
PPHHSIZE,0,0.0,1.0,5.0
PPEDUC,0,0.0,1.0,5.0
LMscore,0,0.0,0.0,3.0
KHscore,0,0.0,-2.053,1.267
FWBscore,0,0.0,14.0,95.0
agecat,0,0.0,1.0,8.0
