feature,mean_abs_shap
HARDSHIP_TOTAL,0.71348923
GOALCONF,0.4807009
ACT1_2,0.3576253
DISTRESS,0.3524708
PPINCIMP,0.33104715
SAVEHABIT,0.28738323
MANAGE1_3,0.21870993
agecat,0.20332134
MANAGE1_2,0.17942747
MANAGE1_1,0.16795073
PROPPLAN_1,0.13159688
ACT1_1,0.114011474
KHscore,0.094712116
SELFCONTROL_3,0.082523964
SELFCONTROL_1,0.07990691
PROPPLAN_2,0.07259841
PPEDUC,0.061123054
EMPLOY,0.06007131
PROPPLAN_4,0.05654274
PPHHSIZE,0.0560534
MANAGE1_4,0.047434438
SELFCONTROL_2,0.04435087
LMscore,0.03063293
PROPPLAN_3,0.013258952
FINGOALS,0.0076336465
